timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
24.86949,-1.907257,-0.006385584,0.01658417,0.007853533,-0.005801779,-0.00573437
24.91297,-0.01845663,-0.02770629,0.002909141,-0.0009174278,-0.005330351,0.0006728339
24.91297,-3.02821,0.02187308,0.01208589,0.0005804647,0.001796471,-0.00647639
24.95645,0.0008889827,0.03617451,0.001803995,-0.002269615,-0.0004974306,-0.003933576
24.95645,-2.428932,-0.008174978,0.009588887,-0.001544551,-0.001130709,-0.01347393
24.99992,-0.01026867,0.02154845,-0.01582536,0.005589243,0.01096654,-0.006478322
24.99992,-3.828787,0.02031673,-0.02044937,0.001984664,-0.01345953,-0.00796281
25.0434,-0.002202249,0.00814575,0.02071174,0.001512006,-0.0008083747,-0.01443079
25.0434,-5.60118,-0.009812469,0.006689503,0.002547454,-0.003019281,-0.006401325
25.08688,-0.000795883,0.006030407,-0.0025166,-0.003958831,-0.002552373,-0.004167835
25.08688,-4.282712,-0.02895542,0.007327238,0.002607568,-0.00401365,0.01003671
25.13036,0.04234589,-0.007143246,0.002750036,0.005380117,0.0006518564,0.003954262
25.13036,-2.465052,-0.006661587,-0.0219254,0.0007477502,0.007201126,-0.002530436
25.17384,-0.02646962,0.02853164,0.01576681,0.005341319,-0.002946897,0.008936962
25.17384,-3.035598,-0.01449161,-0.006432903,-0.004579381,0.002179494,0.00129042
25.21731,0.03719774,0.003285189,-0.0293217,-0.005341685,0.003308381,0.005497005
25.21731,-3.212125,0.002055028,-0.01708623,0.003151876,-0.007651323,-0.001554099
25.26079,0.009804138,0.002986837,0.001395977,-0.003092319,-0.004784513,-0.001405844
25.26079,-6.341177,-0.01138084,-0.005504238,-0.002666117,-0.002242697,-0.007269929
25.30427,0.01551376,-0.001702262,0.04096919,0.003337162,-0.003900764,0.007784371
25.30427,-2.985342,-0.02180695,-0.01200465,-0.004257326,-0.002799039,-0.0006494967
25.34775,-0.01411011,0.01724251,-0.001851156,-0.00531882,-0.003468841,-0.0006809107
25.34775,-3.33565,0.02562979,0.02063641,-0.002091382,-0.002946679,-0.0007600368
25.39123,-0.01475404,-0.01178167,-0.008861593,-0.004858934,-0.001859791,0.005223262
25.39123,0.04362126,-0.01202175,-0.2338711,-0.008619691,0.004449466,0.001734839
25.4347,0.02627765,0.00816266,-0.02777758,-0.002265626,0.002274297,0.001036049
25.4347,-6.931896,-0.01183668,0.2835677,-0.001958673,0.00108429,-0.00721898
25.47818,-0.05896717,0.0426252,-0.01949977,-0.009526307,-0.0004510314,0.001293737
25.47818,1.498018,0.01401868,-0.2009967,-0.001876539,0.005102532,0.004867422
25.52166,0.02856413,-0.005307554,-0.004572495,0.007511479,-0.003889801,-0.001559272
25.52166,-10.38189,0.01875291,0.1832436,0.002642121,0.0001123268,0.006647009
25.56514,0.01471981,-0.0588877,0.02677088,0.005048648,0.005071906,-0.003605011
25.56514,3.339715,-0.03042938,-0.2139989,-0.004398084,-0.00258003,0.006740403
25.60862,0.02024835,-0.01690897,-0.03149434,0.002392113,-0.007888579,-0.005388002
25.60862,-10.19013,-0.02529571,0.2216565,-0.006661566,0.007516365,0.00279339
25.65209,-0.0299986,-0.01859761,-0.03395767,-0.008189448,-0.0005415869,-0.006861911
25.65209,-3.889807,0.024563,-0.03305924,-0.01388267,-0.001546518,0.00362118
25.69557,-0.003076767,0.02780553,0.03331125,7.95886E-05,-0.0002568771,-0.004454858
25.69557,-2.083152,-0.03227536,0.01419538,-0.002477233,0.004407585,0.002132666
25.73905,0.02153539,-0.03075559,0.01585581,0.004397757,0.006923782,0.001674514
25.73905,-3.065652,-0.02721553,0.01109144,-0.004134403,0.007192329,-0.002360376
25.78253,-0.04914837,-0.01496711,-0.04060803,0.004864745,-0.002148865,-0.006109721
25.78253,-1.946858,0.005510488,-0.01397178,0.001937028,0.003302739,0.001931806
25.82601,-0.009103917,8.471846E-05,0.01626598,-0.004196253,0.002891389,6.687555E-05
25.82601,-1.567846,-0.0007617225,-0.02268524,0.0007557338,0.005284765,-0.002692798
25.86948,0.005119214,-0.0010249,-0.003169262,0.003211844,0.0002991605,0.002536682
