predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
4.114843,4.089146,4.099331,0.6284137,0.2490683,113
4.104462,4.078834,4.089309,0.6283191,0.2568175,113
4.094106,4.068547,4.078877,0.62822,0.2539156,113
4.083788,4.058286,4.06837,0.6283985,0.2484948,113
4.0735,4.04805,4.05834,0.6286917,0.2542001,113
4.06323,4.03784,4.047841,0.6288052,0.2476864,113
4.052983,4.027656,4.03792,0.6288325,0.2548479,113
4.042755,4.017497,44.38085,0.6287134,1004.689,113
4.032549,4.007363,4.017881,0.6285066,0.2624687,112
4.022371,3.997255,4.007246,0.6283364,0.2499448,112
4.012218,3.987172,3.996921,0.6281733,0.2445195,112
4.002092,3.977114,3.987304,0.6280414,0.2562102,112
3.992001,3.967081,3.97683,0.6281633,0.2457398,112
3.981941,3.957074,3.967259,0.6284264,0.2574053,112
3.971896,3.947091,3.956837,0.6284271,0.2469119,112
3.96187,3.937134,3.94719,0.6282846,0.2554208,112
3.951862,3.927201,3.93684,0.6279492,0.2454366,112
3.941883,3.917293,3.927205,0.6277237,0.2530322,112
3.931938,3.90741,3.917668,0.6277432,0.262538,112
3.922014,3.897552,3.907233,0.6276428,0.2484047,112
3.912107,3.887718,3.897633,0.6273292,0.2550369,112
3.90222,3.877909,3.88816,0.6269302,0.2643447,112
3.89237,3.868124,3.877661,0.6268272,0.246547,112
3.882553,3.858364,3.868069,0.6269298,0.2515332,112
3.872754,3.848628,3.858545,0.6268803,0.2576706,112
3.862977,3.838917,3.849029,0.6267458,0.2634275,112
3.853217,4.018474,3.838569,4.112432,4.476947,112
3.843468,4.008292,3.829006,4.112088,4.472871,112
3.928376,3.998137,4.008259,1.744827,0.2531754,112
4.013065,3.988006,3.997777,0.6283528,0.2450064,112
4.002897,3.977901,3.988308,0.6283787,0.2616256,112
3.992753,3.967821,3.977784,0.6283526,0.2510839,112
3.982632,3.957767,3.968226,0.6282742,0.2642759,112
3.972539,3.947737,3.957786,0.6282519,0.2545596,112
3.962476,3.937733,3.948143,0.6283646,0.2643853,112
3.952435,3.927753,3.937734,0.6283951,0.2541005,112
